NUTS_ID,NAME_LATN,AREA_TOT_2024,POP_TOT_2023,POP_09_RT_2023,POP_024_RT_2023,POP_65P_RT_2023,POP_80P_RT_2023,LIFE_EXP_2022,HIGH_EDU_2023,UNEMP_25P_2023,UNEMP_LT_25P_2023,GDP_CAP_PPS_2022,INC_PPS_2021,AREA_ART_RT,AREA_CUL_RT,AREA_BOI_RT,zone
DEE0,Sachsen-Anhalt,20454,2186643,8.372972,21.32227,27.560878,9.0377807,78.8,25.7,3.7,52.8,30900,19400,5.881490173071282,45.849222645937225,24.205534369805417,EU27
DEF0,Schleswig-Holstein,15802,2953270,9.084506,23.61948,23.454476,7.8863429,80.4,29.3,2.8,36.8,34300,22400,7.3977977471206176,43.0261992152892,15.194279205163902,EU27
DEG0,Thüringen,16201,2126846,8.51599,21.72005,27.057671,8.6325949,79.8,28,2.9,45.7,30100,19500,5.2280723412135055,38.41120918461824,37.44213320165422,EU27
DK01,Hovedstaden,2559,1891871,10.777162,28.57668,17.388553,4.4412648,81.6,55.1,4.2,15.3,67800,18900,14.1852286049238,24.697147323173112,25.43962485345838,EU27
DK02,Sjælland,7224,849857,9.832125,26.29689,23.59291,5.7207271,80.6,33.1,3.7,20.4,30000,17500,7.931893687707642,54.761904761904766,17.068106312292358,EU27
DK03,Syddanmark,12256,1237413,10.111014,27.55127,22.42889,5.7591928,81.3,35.1,3.9,11.9,40500,17000,6.821148825065274,51.697127937336816,18.325718015665796,EU27
DK04,Midtjylland,13007,1358879,10.74231,29.53022,20.010391,4.9024968,81.8,41.2,4.2,13.8,42300,17300,5.57392173445068,47.35142615514723,23.356654109325746,EU27
DK05,Nordjylland,7879,594634,9.929806,27.65331,22.60197,5.6853459,80.7,35.1,3.7,34,36600,17000,5.698692727503491,43.292295976646784,18.009899733468714,EU27
EE00,Eesti,45336,1365884,10.567222,26.3947,20.239859,5.8707035,78.1,41.6,5.5,23.6,30100,13200,1.731515793188636,12.8882124580907,57.96056114346215,EU27
EL30,Attiki,3817,3790842,8.22134,22.84057,21.423051,6.1928722,80.9,43.7,8.7,60.3,32000,14300,17.39586062352633,15.221378045585537,34.37254388263034,EU27
EL41,Voreio Aigaio,3848,195509,8.646661,24.67764,24.318062,7.8308415,82.3,26.7,8.7,48.2,14500,10500,4.547817047817048,23.544698544698544,27.936590436590436,EU27
EL42,Notio Aigaio,5311,326945,9.967732,25.6979,19.894784,5.2993623,81.7,20.1,7.2,13.9,23900,13600,4.368292223686688,9.696855582752777,16.550555450950856,EU27
EL43,Kriti,8346,622909,9.887961,26.43291,20.451141,6.4449221,81.7,28.4,10,32.9,20000,11400,3.7143541816439014,31.595974119338603,15.336688233884496,EU27
